,Team,Round of 16,Group,1930,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,R2,QF,4th,3rd,2nd,1st,Past Group Stage,Qualifying Percentage,CODE
60,Burma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMR
61,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDI
62,Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPV
63,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHM
64,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMR
65,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN
66,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYM
67,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAF
68,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCD
69,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHL
70,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN
71,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COM
72,"Congo, Democratic Republic of the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COD
73,"Congo, Republic of the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COG
74,Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COK
75,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIV
76,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUB
77,Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUW
78,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYP
79,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CZE
80,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DJI
81,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMA
82,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOM
83,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECU
84,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLV
85,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNQ
86,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERI
87,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EST
88,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ETH
89,Falkland Islands (Islas Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLK
90,Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRO
91,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FJI
92,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIN
93,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PYF
94,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAB
95,"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GMB
96,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEO
97,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHA
98,Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIB
99,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRC
100,Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRL
101,Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRD
102,Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUM
103,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTM
104,Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGY
105,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNB
106,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIN
107,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUY
108,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTI
109,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HND
110,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HKG
111,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HUN
112,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND
113,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
114,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRQ
115,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRL
116,Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMN
117,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISR
118,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA
119,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAM
120,Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JEY
121,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JOR
122,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KAZ
123,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEN
124,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIR
125,"Korea, North",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRK
126,"Korea, South",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KOR
127,Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KSV
128,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KWT
129,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KGZ
130,Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAO
131,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LVA
132,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LBN
133,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSO
134,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LBR
135,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LBY
136,Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIE
137,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTU
138,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUX
139,Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAC
140,Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MKD
141,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDG
142,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWI
143,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYS
144,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDV
145,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLI
146,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLT
147,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MHL
148,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRT
149,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUS
150,"Micronesia, Federated States of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FSM
151,Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDA
152,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCO
153,Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNG
154,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNE
155,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOZ
156,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAM
157,Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPL
158,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLD
159,New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCL
160,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NZL
161,Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIC
162,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NER
163,Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIU
164,Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNP
165,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOR
166,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OMN
167,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAK
168,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLW
169,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PNG
170,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRY
171,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHL
172,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI
173,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QAT
174,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROU
175,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RWA
176,Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KNA
177,Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LCA
178,Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAF
179,Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPM
180,Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCT
181,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSM
182,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMR
183,Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STP
184,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYC
185,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLE
186,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGP
187,Sint Maarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SXM
188,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SVK
189,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SVN
190,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLB
191,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOM
192,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZAF
193,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSD
194,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LKA
195,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDN
196,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUR
197,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWZ
198,Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYR
199,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TWN
200,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TJK
201,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TZA
202,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THA
203,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLS
204,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGO
205,Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TON
206,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TTO
207,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUR
208,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TKM
209,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUV
210,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UGA
211,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UKR
212,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARE
213,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBR
214,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
215,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UZB
216,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VUT
217,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEN
218,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VNM
219,Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGB
220,West Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WBG
221,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YEM
222,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZMB
223,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZWE
