,Team,Group,Group Stage Score,PowerScore,Advanced,Rankings,Standing,WikiStanding,Ranking Differential,Points in Group Round,Games Played,Goals,Assists,Shots on Goal,Shots,Header Goals,Kicked Goals,Yellow Cards,Red Cards,Fouls,Offsides,Goals Against,Average Goals Against,Goal Differential,Average Goal Differential,Goals per Game,Assists per Game,Shots on Goal per Game,Shots per Game,Header Goals per Game,Kicked Goals per Game,Yellow Cards per Game,Red Cards per Game,Fouls per Game,Offsides per Game,Miles per Game,Value of players (in million euros),Possession Percentage,Pass Percentage,Tackles per Game,Interceptions per Game,Cross per Game,Through Ball per Game,Long Balls per Game,Short Passes per Game,CODE,color
11,Uruguay,D,6,6,Y,7,9,12,-5,6,4,4,2,29,49,1,2,8,1,74,11,6,1.5,-2,-0.5,1,0.5,7.25,12.25,0.25,0.5,2,0.25,18.5,2.75,65.16,217.63,46.4,74.3,18.5,15.8,18,2,61,288,URY,b
12,Algeria,H,4,4,Y,21,9,14,7,4,4,7,6,22,37,2,5,6,0,69,7,7,1.75,0,0,1.75,1.5,5.5,9.25,0.5,1.25,1.5,0,17.25,1.75,71.76,57.2,41.7,73.2,23.3,17.3,17,1,64,296,DZA,b
13,Ecuador,E,4,4,N,23,17,17,6,4,3,3,3,18,29,2,1,5,1,49,6,3,1,0,0,1,1,6,9.67,0.67,0.33,1.67,0.33,16.33,2,61.36,62.85,42.9,73.5,16,7.7,17,1,62,246,ECU,r
14,England,D,4,4,N,10,17,26,-16,1,3,2,2,19,39,0,2,4,0,37,2,4,1.33,-2,-0.67,0.67,0.67,6.33,13,0,0.67,1.33,0,12.33,0.67,66.05,334,53.7,84.7,15.7,9.3,24,2,61,413,GBR,r
15,Greece,C,4,4,Y,12,9,13,-1,4,4,3,1,30,58,0,3,8,1,61,17,5,1.25,-2,-0.5,0.75,0.25,7.5,14.5,0,0.75,2,0.25,15.25,4.25,67.83,79.9,48,80.7,18.8,9.3,27,1,59,306,GRC,b
16,Nigeria,F,4,4,Y,28,9,16,12,4,4,3,3,32,50,0,3,3,0,57,6,5,1.25,-2,-0.5,0.75,0.75,8,12.5,0,0.75,0.75,0,14.25,1.5,68.67,86.85,48.9,80.9,19.3,12.8,22,1,49,333,NGA,b
17,Portugal,G,4,4,N,4,17,18,-14,4,3,4,1,28,53,1,2,2,1,46,5,7,2.33,-3,-1,1.33,0.33,9.33,17.67,0.33,0.67,0.67,0.33,15.33,1.67,66.91,297.25,49.8,85,19.3,10,27,1,64,398,PRT,r
18,USA,G,4,4,Y,13,9,15,-2,4,4,5,4,27,41,1,3,4,0,49,4,6,1.5,-1,-0.25,1.25,1,6.75,10.25,0.25,0.75,1,0,12.25,1,77.17,57.8,45.5,82,21,14.3,15,3,52,383,USA,b
19,Bosnia and Herzegovina,F,3,3,N,20,17,20,0,3,3,4,4,30,47,0,4,3,0,41,6,4,1.33,0,0,1.33,1.33,10,15.67,0,1.33,1,0,13.67,2,69.96,114.95,53.6,85.6,13.3,13.7,25,2,48,443,BIH,r
20,Croatia,A,3,3,N,17,17,19,-2,3,3,6,3,23,41,1,4,4,1,48,5,6,2,0,0,2,1,7.67,13.67,0.33,1.33,1.33,0.33,16,1.67,65.12,193.25,49.8,80.6,16,12,25,2,71,303,HRV,r
21,Italy,D,3,3,N,9,17,22,-13,3,3,2,2,16,31,1,1,3,1,41,21,3,1,-1,-0.33,0.67,0.67,5.33,10.33,0.33,0.33,1,0.33,13.67,7,66.55,323,56.6,89.1,15.7,16,12,5,45,519,ITA,r
22,Ivory Coast,C,3,3,N,22,17,21,1,3,3,4,3,30,47,2,2,7,0,49,6,5,1.67,-1,-0.33,1.33,1,10,15.67,0.67,0.67,2.33,0,16.33,2,59.5,29.63,54.5,85.8,14.3,10.7,23,0,53,367,CIV,r
23,Spain,B,3,3,N,1,17,23,-22,3,3,4,2,23,35,0,4,3,0,28,12,7,2.33,-3,-1,1.33,0.67,7.67,11.67,0,1.33,1,0,9.33,4,68.04,622,59.1,85.5,24.3,17.3,15,10,56,563,ESP,r
24,Russia,H,2,2,N,18,17,24,-6,2,3,2,2,23,39,1,1,4,0,38,3,3,1,-1,-0.33,0.67,0.67,7.67,13,0.33,0.33,1.33,0,12.67,1,71.79,183.8,51.7,80.5,20.3,12,24,1,53,383,RUS,r
25,Ghana,G,1,1,N,26,17,25,1,1,3,4,4,24,59,2,2,6,0,43,14,6,2,-2,-0.67,1.33,1.33,8,19.67,0.67,0.67,2,0,14.33,4.67,68.92,96.35,48.7,79.2,19.3,19.3,27,4,56,341,GHA,r
26,Iran,F,1,1,N,27,17,28,-1,1,3,1,1,12,22,0,1,4,0,49,10,4,1.33,-3,-1,0.33,0.33,4,7.33,0,0.33,1.33,0,16.33,3.33,67,24.1,35.5,69.8,21,12,20,0,50,174,IRN,r
27,Japan,C,1,1,N,29,17,29,0,1,3,2,2,28,46,1,1,4,0,46,2,6,2,-4,-1.33,0.67,0.67,9.33,15.33,0.33,0.33,1.33,0,15.33,0.67,65.76,98,57.9,84.2,14.3,12.7,21,3,49,408,JPN,r
28,South Korea,H,1,1,N,31,17,27,4,1,3,3,2,24,37,0,3,6,0,36,2,6,2,-3,-1,1,0.67,8,12.33,0,1,2,0,12,0.67,68.97,51.93,51.3,82.4,17.3,8.7,20,1,66,356,KOR,r
29,Australia,B,0,0,N,32,17,30,2,3,3,3,2,14,27,1,2,6,0,50,3,9,3,-6,-2,1,0.67,4.67,9,0.33,0.67,2,0,16.67,1,73.38,21.35,44.3,79.7,12.3,15.3,17,1,50,361,AUS,r
30,Cameroon,A,0,0,N,30,17,32,-2,0,3,1,1,17,40,0,1,4,1,37,4,9,3,-8,-2.67,0.33,0.33,5.67,13.33,0,0.33,1.33,0.33,12.33,1.33,60.45,118.45,44,79.3,14.7,16,18,1,48,263,CMR,r
31,Honduras,E,0,0,N,25,17,31,-6,0,3,1,1,17,33,0,1,7,1,46,3,8,2.67,-7,-2.33,0.33,0.33,5.67,11,0,0.33,2.33,0.33,15.33,1,59.7,21.15,47.3,78.8,16,14.3,14,1,62,316,HND,r
